,NTA,YEAR,Property_Count,pct_change
212,Brownsville,2016,3695,-0.16211834639286993
213,Brownsville,2017,3696,0.027063599458720944
214,Brownsville,2018,3705,0.24350649350648457
215,Brownsville,2019,3707,0.05398110661267719
216,Bushwick North,2011,4458,
217,Bushwick North,2012,4552,2.1085688649618683
218,Bushwick North,2013,4548,-0.08787346221441616
219,Bushwick North,2014,4569,0.461741424802109
220,Bushwick North,2015,4581,0.26263952724885353
221,Bushwick North,2016,4582,0.021829294913766617
222,Bushwick North,2017,4618,0.7856831078131732
223,Bushwick North,2018,4639,0.4547423126894712
224,Bushwick North,2019,4677,0.8191420564776841
225,Bushwick South,2011,6234,
226,Bushwick South,2012,6258,0.38498556304138454
227,Bushwick South,2013,6291,0.5273250239693272
228,Bushwick South,2014,6288,-0.04768717215068996
229,Bushwick South,2015,6310,0.3498727735368856
230,Bushwick South,2016,6357,0.7448494453248911
231,Bushwick South,2017,6377,0.31461381154631596
232,Bushwick South,2018,6449,1.1290575505723766
233,Bushwick South,2019,6508,0.9148705225616283
234,Cambria Heights,2011,5101,
235,Cambria Heights,2012,5102,0.019603999215833667
236,Cambria Heights,2013,5100,-0.03920031360250542
237,Cambria Heights,2014,5101,0.019607843137259273
238,Cambria Heights,2015,5106,0.09801999607919054
239,Cambria Heights,2016,5106,0.0
240,Cambria Heights,2017,5106,0.0
241,Cambria Heights,2018,5106,0.0
242,Cambria Heights,2019,5107,0.019584802193506334
243,Canarsie,2011,12874,
244,Canarsie,2012,12877,0.023302780798517553
245,Canarsie,2013,12876,-0.007765783955893113
246,Canarsie,2014,12884,0.06213109661385996
247,Canarsie,2015,12891,0.054330953120151904
248,Canarsie,2016,12929,0.29477930338996927
249,Canarsie,2017,12940,0.08508005259493245
250,Canarsie,2018,12936,-0.030911901081920323
251,Canarsie,2019,12940,0.030921459492883052
252,Carroll Gardens-Columbia Street-Red Hook,2011,5718,
253,Carroll Gardens-Columbia Street-Red Hook,2012,5905,3.270374256733133
254,Carroll Gardens-Columbia Street-Red Hook,2013,6146,4.081287044877224
255,Carroll Gardens-Columbia Street-Red Hook,2014,6197,0.8298080052066448
256,Carroll Gardens-Columbia Street-Red Hook,2015,6277,1.2909472325318694
257,Carroll Gardens-Columbia Street-Red Hook,2016,6324,0.7487653337581612
258,Carroll Gardens-Columbia Street-Red Hook,2017,6380,0.8855154965211831
259,Carroll Gardens-Columbia Street-Red Hook,2018,6471,1.4263322884012553
260,Carroll Gardens-Columbia Street-Red Hook,2019,6513,0.649049605934171
261,Central Harlem North-Polo Grounds,2011,3475,
262,Central Harlem North-Polo Grounds,2012,3377,-2.82014388489209
263,Central Harlem North-Polo Grounds,2013,3552,5.1821143026354655
264,Central Harlem North-Polo Grounds,2014,3547,-0.14076576576577127
265,Central Harlem North-Polo Grounds,2015,3738,5.384832252607841
266,Central Harlem North-Polo Grounds,2016,3764,0.6955591225254132
267,Central Harlem North-Polo Grounds,2017,3901,3.6397449521785363
268,Central Harlem North-Polo Grounds,2018,4040,3.5631889259164273
269,Central Harlem North-Polo Grounds,2019,4082,1.0396039603960405
270,Central Harlem South,2011,3688,
271,Central Harlem South,2012,3881,5.233188720173532
272,Central Harlem South,2013,4075,4.998711672249412
273,Central Harlem South,2014,4164,2.184049079754602
274,Central Harlem South,2015,4306,3.410182516810756
275,Central Harlem South,2016,4466,3.7157454714352056
276,Central Harlem South,2017,4469,0.06717420510524708
277,Central Harlem South,2018,4503,0.7607965987916687
278,Central Harlem South,2019,4507,0.08882966910948031
279,Charleston-Richmond Valley-Tottenville,2011,6143,
280,Charleston-Richmond Valley-Tottenville,2012,6149,0.09767214715936667
281,Charleston-Richmond Valley-Tottenville,2013,6198,0.7968775410635898
282,Charleston-Richmond Valley-Tottenville,2014,6236,0.61310100032268
